DHSID,HV007: year of interview,HV000: country code,Female Education PCA,Female Education PCA (min-max-scaled),EDI,EDI (min-max-scaled),EDI (UNESCO),EDI (UNESCO) (min-max-scaled),Imputed,households,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,ISO3,TIF_name,MEAN_AGE,STD_AGE
MZ201500000001,2015,MZ,-3.0838887211266073,0.18105520569379346,0.2753968253968254,0.28423984272608127,,,True,121.0,2015.0,R,-13.430448,40.51001,MZGE71FL,Mecufi,Cabo Delgado,Mozambique,MOZ,MZGE71FL00000001.tif,21.952380952380953,21.53199312907654
TZ201500000001,2015,TZ,0.5342248686331345,0.4931039112518756,0.46759259259259256,0.48260703363914365,,,False,126.0,2015.0,R,-4.726384,35.912846,TZGE7AFL,Kondoa,Dodoma,Tanzania,TZA,TZGE7AFL00000001.tif,21.661538461538463,21.64433884058725
ZW201500000001,2015,ZW,1.888811751216665,0.6099319413260273,0.6121693121693121,0.6318261249453909,0.578,0.7223837209302325,False,106.0,2015.0,R,-17.303925,31.888711,ZWGE72FL,Uzumba-Maramba-Pfungwe,Mashonaland East,Zimbabwe,ZWE,ZWGE72FL00000001.tif,23.272727272727273,19.734773357231123
SN201500000001,2015,SN,0.4293336153405883,0.4840574346827202,0.5032163742690059,0.5193746982134235,0.514,0.6293604651162791,False,105.0,2015.0,U,14.6816228703,-17.4478567385,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000001.tif,27.733333333333334,19.123284236762263
MW201500000002,2015,MW,-0.5693186654747954,0.3979274269314268,0.5182539682539682,0.5348951507208387,,,False,140.0,2015.0,R,-12.855043,33.336077,MWGE7AFL,Kasungu,Central Region,Malawi,MWI,MWGE7AFL00000002.tif,22.38888888888889,19.735972415838752
TZ201500000002,2015,TZ,1.0171517738584752,0.5347545426972927,0.5198232323232324,0.5365148040033361,,,False,101.0,2015.0,R,-4.364093,35.852918,TZGE7AFL,Kondoa,Dodoma,Tanzania,TZA,TZGE7AFL00000002.tif,21.979166666666668,22.60435806533995
ZW201500000002,2015,ZW,2.4885973705076965,0.6616611978761368,0.669622507122507,0.6911241472594682,0.588,0.7369186046511627,False,130.0,2015.0,R,-20.733202,30.740049,ZWGE72FL,Chivi,Masvingo,Zimbabwe,ZWE,ZWGE72FL00000002.tif,26.223684210526315,21.45916971628401
AO201500000002,2015,AO,-1.0510105471473796,0.35638331162802966,0.4540305010893246,0.46860946213347715,,,False,114.0,2015.0,U,-9.663518,20.377014,AOGE71FL,Saurimo,Lunda Sul,Angola,AGO,AOGE71FL00000002.tif,21.728813559322035,21.06625877826712
MZ201500000002,2015,MZ,-1.0103532138427096,0.3598898538949927,0.4444444444444444,0.45871559633027514,0.325,0.3546511627906977,True,100.0,2015.0,U,-14.823816,36.539346,MZGE71FL,Cuamba,Niassa,Mozambique,MOZ,MZGE71FL00000002.tif,14.362068965517242,13.304396154947876
SN201500000002,2015,SN,2.1819040237332734,0.6352100488201478,0.5729166666666666,0.5913130733944953,0.514,0.6293604651162791,False,104.0,2015.0,U,14.7079189962,-17.4737665213,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000002.tif,25.68,17.528332749568392
MW201500000003,2015,MW,-1.8147413916735926,0.29051439526683515,0.32222222222222224,0.33256880733944955,,,False,144.0,2015.0,R,-15.100664,35.534903,MWGE7AFL,Machinga,Southern Region,Malawi,MWI,MWGE7AFL00000003.tif,20.704225352112676,20.889774919253256
MZ201500000003,2015,MZ,2.5917736777164198,0.6705597667878118,0.6396759259259259,0.6602159785932721,0.455,0.5436046511627907,True,125.0,2015.0,U,-19.101195,33.45708,MZGE71FL,Cidade de Chimoio,Manica,Mozambique,MOZ,MZGE71FL00000003.tif,21.08823529411765,16.92982468909563
SN201500000003,2015,SN,-1.2983910852326075,0.33504766951103265,0.28076923076923077,0.2897847565278758,0.514,0.6293604651162791,False,61.0,2015.0,U,14.7227169099,-17.4523073541,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000003.tif,25.689655172413794,14.459558006176751
