DHSID,HV007: year of interview,HV000: country code,Female Education PCA,Female Education PCA (min-max-scaled),EDI,EDI (min-max-scaled),EDI (UNESCO),EDI (UNESCO) (min-max-scaled),Imputed,households,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,ISO3,TIF_name,MEAN_AGE,STD_AGE
MZ201500000001,2015,MZ,-3.0838887211266073,0.18105520569379346,0.2753968253968254,0.28423984272608127,,,True,121.0,2015.0,R,-13.430448,40.51001,MZGE71FL,Mecufi,Cabo Delgado,Mozambique,MOZ,MZGE71FL00000001.tif,21.952380952380953,21.53199312907654
TZ201500000001,2015,TZ,0.5342248686331345,0.4931039112518756,0.46759259259259256,0.48260703363914365,,,False,126.0,2015.0,R,-4.726384,35.912846,TZGE7AFL,Kondoa,Dodoma,Tanzania,TZA,TZGE7AFL00000001.tif,21.661538461538463,21.64433884058725
ZW201500000001,2015,ZW,1.888811751216665,0.6099319413260273,0.6121693121693121,0.6318261249453909,0.578,0.7223837209302325,False,106.0,2015.0,R,-17.303925,31.888711,ZWGE72FL,Uzumba-Maramba-Pfungwe,Mashonaland East,Zimbabwe,ZWE,ZWGE72FL00000001.tif,23.272727272727273,19.734773357231123
MW201500000002,2015,MW,-0.5693186654747954,0.3979274269314268,0.5182539682539682,0.5348951507208387,,,False,140.0,2015.0,R,-12.855043,33.336077,MWGE7AFL,Kasungu,Central Region,Malawi,MWI,MWGE7AFL00000002.tif,22.38888888888889,19.735972415838752
TZ201500000002,2015,TZ,1.0171517738584752,0.5347545426972927,0.5198232323232324,0.5365148040033361,,,False,101.0,2015.0,R,-4.364093,35.852918,TZGE7AFL,Kondoa,Dodoma,Tanzania,TZA,TZGE7AFL00000002.tif,21.979166666666668,22.60435806533995
ZW201500000002,2015,ZW,2.4885973705076965,0.6616611978761368,0.669622507122507,0.6911241472594682,0.588,0.7369186046511627,False,130.0,2015.0,R,-20.733202,30.740049,ZWGE72FL,Chivi,Masvingo,Zimbabwe,ZWE,ZWGE72FL00000002.tif,26.223684210526315,21.45916971628401
MW201500000003,2015,MW,-1.8147413916735926,0.29051439526683515,0.32222222222222224,0.33256880733944955,,,False,144.0,2015.0,R,-15.100664,35.534903,MWGE7AFL,Machinga,Southern Region,Malawi,MWI,MWGE7AFL00000003.tif,20.704225352112676,20.889774919253256
MW201500000004,2015,MW,0.04299941939837567,0.45073756155939043,0.5268518518518518,0.543769113149847,,,False,136.0,2015.0,R,-12.015707,34.627514,MWGE7AFL,Likoma,Northern Region,Malawi,MWI,MWGE7AFL00000004.tif,24.794117647058822,20.408191817005346
MZ201500000004,2015,MZ,-2.502094812316006,0.23123274480139802,0.3083333333333333,0.3182339449541284,0.357,0.40116279069767435,True,97.0,2015.0,R,-16.020028,37.190445,MZGE71FL,Ile,Zambezia,Mozambique,MOZ,MZGE71FL00000004.tif,18.046875,18.597174804638623
ZW201500000004,2015,ZW,0.6938682822379252,0.5068725559697316,0.596111111111111,0.6152522935779815,0.596,0.7485465116279069,False,137.0,2015.0,R,-17.005589,30.183795,ZWGE72FL,Makonde,Mashonaland West,Zimbabwe,ZWE,ZWGE72FL00000004.tif,20.56,19.60366761052084
AO201500000005,2015,AO,-4.678810198021234,0.04349921968485171,0.09671717171717173,0.09982276897414513,,,False,94.0,2015.0,R,-14.211038,13.546263,AOGE71FL,Bibala,Namibe,Angola,AGO,AOGE71FL00000005.tif,24.70212765957447,24.074083930936677
TZ201500000005,2015,TZ,1.1348675892346716,0.5449070895702878,0.4893939393939394,0.5051084236864053,,,False,93.0,2015.0,R,-6.692595,36.160461,TZGE7AFL,Mpwapwa,Dodoma,Tanzania,TZA,TZGE7AFL00000005.tif,24.4468085106383,24.23060274029903
MW201500000006,2015,MW,-0.3301746365794316,0.41855270107150655,0.46855555555555556,0.4836009174311926,,,False,181.0,2015.0,R,-11.355628,33.380949,MWGE7AFL,Mzimba,Northern Region,Malawi,MWI,MWGE7AFL00000006.tif,20.754716981132077,17.591562545046425
