DHSID,HV007: year of interview,HV000: country code,Female Education PCA,Female Education PCA (min-max-scaled),EDI,EDI (min-max-scaled),EDI (UNESCO),EDI (UNESCO) (min-max-scaled),Imputed,households,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,ISO3,TIF_name,MEAN_AGE,STD_AGE,Random Split (Cross Val) Rural,TestIndex
BF202100000479,2021,BF,-4.194438835394601,0.0898785660086206,0.1291851851851851,0.1333333333333333,0.301,0.3046192259675406,False,198.0,2021.0,R,13.1621401109,-2.49999216921,BFGE81FL,Zondoma,Nord,Burkina Faso,BFA,BFGE81FL00000479.tif,23.145631067961165,20.46633187772595,split1,0.26847917771448304
TZ201500000550,2015,TZ,1.7739451032230669,0.6108100970592093,0.5826388888888889,0.6013474770642202,,,False,132.0,2015.0,R,-6.251617,39.35501,TZGE7AFL,Kati,Kusini Unguja,Tanzania,TZA,TZGE7AFL00000550.tif,23.20779220779221,19.774610024990757,split1,0.5902795545500371
ZM201800000204,2018,ZM,-2.475538077102275,0.2399073866995075,0.3169515669515669,0.3271289108445071,0.488,0.5380774032459426,False,111.0,2018.0,R,-10.746352,30.792816,ZMGE71FL,Kasama,Northern,Zambia,ZMB,ZMGE71FL00000204.tif,18.03333333333333,16.31466706929445,split1,0.20237825847764523
KE202200000247,2022,KE,-3.4403815507590534,0.1556940731584546,,,,,False,57.0,2022.0,R,2.543696,39.613664,KEGE8AFL,Wajir,North Eastern,Kenya,KEN,KEGE8AFL00000247.tif,15.133333333333333,17.51596972486248,split1,0.017040067790194513
NG201800000496,2018,NG,0.6262716703854353,0.510639048302473,0.4165079365079365,0.4298820445609436,0.325,0.33458177278402,False,208.0,2018.0,R,12.070864,9.407559,NGGE7BFL,Jahun,Jigawa,Nigeria,NGA,NGGE7BFL00000496.tif,17.072,15.03553640009926,split1,0.056148751204394776
CI202100000435,2021,CI,-1.3075339535009969,0.3418529355513693,0.3255892255892256,0.3360439254934668,,,False,116.0,2021.0,R,5.17439593175,-6.06880634757,CIGE81FL,Gbôkle,Bas Sassandra,Cote d'Ivoire,CIV,CIGE81FL00000435.tif,24.54385964912281,20.83615519736118,split1,0.25606478823286183
NG201800000956,2018,NG,3.1412171863144493,0.730148120037082,0.6301169590643275,0.6503500724287784,0.64,0.7278401997503123,False,127.0,2018.0,R,5.132803,7.701618,NGGE7BFL,Essien Udim,Akwa Ibom,Nigeria,NGA,NGGE7BFL00000956.tif,28.0,21.856877108202735,split1,0.260114015866867
SN201700000171,2017,SN,-4.305416123736852,0.0801922641013473,0.1081455581455581,0.1116181219392228,,,False,231.0,2017.0,R,13.812619,-14.848417,SNGE7RFL,Koungueul,Kaffrine,Senegal,SEN,SNGE7RFL00000171.tif,22.218487394957982,20.62422455198261,split1,0.03136150042430097
MD202100000231,2021,MD,-1.6192748069848786,0.3146436203051407,0.2814814814814815,0.290519877675841,0.391,0.4169787765293384,False,143.0,2021.0,R,-21.420199,47.864619,MDGE81FL,Mananjary,Vatovavy Fitovinany,Madagascar,MDG,MDGE81FL00000231.tif,22.897058823529413,18.901267197416413,split1,0.48947615309891657
TZ201500000572,2015,TZ,2.2884394291749808,0.6557161084169583,0.4957010582010582,0.5116180646570554,,,False,137.0,2015.0,R,-6.159877,39.217802,TZGE7AFL,Mjini,Mjini Magharibi,Tanzania,TZA,TZGE7AFL00000572.tif,24.80555555555556,18.021613697180157,split1,0.07589848100151597
