DHSYEAR,DHSID,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,principal component 1_child,HV007: year of interview,HV000: country code,HV001: cluster number,HV025: Type of place of residence,HV000.0: country name,principal component 1 (min-max-scaled)_child,principal component 1_aduld,principal component 1 (min-max-scaled)_aduld,principal component 1_youth,principal component 1 (min-max-scaled)_youth
2015.0,TZ201500000001,R,-4.726384,35.912846,TZGE7AFL,Kondoa,Dodoma,Tanzania,0.4440822959951871,2015,TZ,1,rural,Tanzania,0.5160220085200293,0.7656677699011726,0.44256912206083593,0.6887591761923451,0.5071574012151633
2015.0,ZW201500000001,R,-17.303925,31.888711,ZWGE72FL,Uzumba-Maramba-Pfungwe,Mashonaland East,Zimbabwe,-0.7810977309361056,2015,ZW,1,rural,Zimbabwe,0.3702179716726556,1.5694538935872837,0.5564899233770806,0.8313991809675059,0.5325110179671104
2015.0,SN201500000001,U,14.6816228703,-17.4478567385,SNGE7AFL,Dakar,Dakar,Senegal,-1.6912979587718238,2015,SN,1,urban,Senegal,0.2618984882982426,-0.8107308145070461,0.21914577020448062,-0.11932300163533392,0.3635244430347704
2015.0,MW201500000002,R,-12.855043,33.336077,MWGE7AFL,Kasungu,Central Region,Malawi,-0.40295655797058605,2015,MW,2,rural,Malawi,0.41521912114019066,-0.4313986692421991,0.2729086067105473,-0.7273308657798546,0.255453790667725
2015.0,TZ201500000002,R,-4.364093,35.852918,TZGE7AFL,Kondoa,Dodoma,Tanzania,-0.26214466145375126,2015,TZ,2,rural,Tanzania,0.43197661187378755,1.4093542706453335,0.5337989651749979,0.05448707682032852,0.3944183996336704
2015.0,ZW201500000002,R,-20.733202,30.740049,ZWGE72FL,Chivi,Masvingo,Zimbabwe,-1.693964292412975,2015,ZW,2,rural,Zimbabwe,0.2615811780255347,1.6363822061566968,0.5659756892717268,0.9286581124216405,0.5497983538563576
2015.0,AO201500000002,U,-9.663518,20.377014,AOGE71FL,Saurimo,Lunda Sul,Angola,0.13839536090010526,2015,AO,2,urban,Angola,0.4796433636118198,-0.6143288480381827,0.24698186831676475,-0.9053848707192919,0.22380549529995944
2015.0,SN201500000002,U,14.7079189962,-17.4737665213,SNGE7AFL,Dakar,Dakar,Senegal,-2.346126863873164,2015,SN,2,urban,Senegal,0.18396977928454633,-0.16625012141051043,0.31048817439243526,1.712395102335525,0.6891040648167759
2015.0,MW201500000003,R,-15.100664,35.534903,MWGE7AFL,Machinga,Southern Region,Malawi,0.11039833945706551,2015,MW,3,rural,Malawi,0.4763115440780636,-1.5930000857883262,0.10827455757299781,-1.0863075318691384,0.19164730924432927
2015.0,SN201500000003,U,14.7227169099,-17.4523073541,SNGE7AFL,Dakar,Dakar,Senegal,-0.5089389947619802,2015,SN,3,urban,Senegal,0.40260655255481204,-2.216204596431689,0.01994763185946702,-0.29247825919039927,0.33274687789408053
2015.0,TZ201500000003,U,-4.903511,35.770286,TZGE7AFL,Kondoa,Dodoma,Tanzania,0.2908156298622739,2015,TZ,3,urban,Tanzania,0.4977823228043801,1.0404488889354218,0.48151391638423285,1.467653054370257,0.6456022709337839
