DHSID,HV007: year of interview,HV000: country code,Female Education PCA,Female Education PCA (min-max-scaled),EDI,EDI (min-max-scaled),EDI (UNESCO),EDI (UNESCO) (min-max-scaled),Imputed,households,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,ISO3,TIF_name,MEAN_AGE,STD_AGE
SN201500000001,2015,SN,0.4293336153405883,0.4840574346827202,0.5032163742690059,0.5193746982134235,0.514,0.6293604651162791,False,105.0,2015.0,U,14.6816228703,-17.4478567385,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000001.tif,27.733333333333334,19.123284236762263
AO201500000002,2015,AO,-1.0510105471473796,0.35638331162802966,0.4540305010893246,0.46860946213347715,,,False,114.0,2015.0,U,-9.663518,20.377014,AOGE71FL,Saurimo,Lunda Sul,Angola,AGO,AOGE71FL00000002.tif,21.728813559322035,21.06625877826712
MZ201500000002,2015,MZ,-1.0103532138427096,0.3598898538949927,0.4444444444444444,0.45871559633027514,0.325,0.3546511627906977,True,100.0,2015.0,U,-14.823816,36.539346,MZGE71FL,Cuamba,Niassa,Mozambique,MOZ,MZGE71FL00000002.tif,14.362068965517242,13.304396154947876
SN201500000002,2015,SN,2.1819040237332734,0.6352100488201478,0.5729166666666666,0.5913130733944953,0.514,0.6293604651162791,False,104.0,2015.0,U,14.7079189962,-17.4737665213,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000002.tif,25.68,17.528332749568392
MZ201500000003,2015,MZ,2.5917736777164198,0.6705597667878118,0.6396759259259259,0.6602159785932721,0.455,0.5436046511627907,True,125.0,2015.0,U,-19.101195,33.45708,MZGE71FL,Cidade de Chimoio,Manica,Mozambique,MOZ,MZGE71FL00000003.tif,21.08823529411765,16.92982468909563
SN201500000003,2015,SN,-1.2983910852326075,0.33504766951103265,0.28076923076923077,0.2897847565278758,0.514,0.6293604651162791,False,61.0,2015.0,U,14.7227169099,-17.4523073541,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000003.tif,25.689655172413794,14.459558006176751
TZ201500000003,2015,TZ,1.1866149759567892,0.5493701072843675,0.5153594771241831,0.5319077172153265,,,False,95.0,2015.0,U,-4.903511,35.770286,TZGE7AFL,Kondoa,Dodoma,Tanzania,TZA,TZGE7AFL00000003.tif,22.404255319148938,17.783308703813645
ZW201500000003,2015,ZW,3.1331542927541967,0.7172518111213328,0.6957115009746588,0.7180508610976983,0.702,0.9026162790697673,False,101.0,2015.0,U,-17.799623,30.931145,ZWGE72FL,Harare,Harare,Zimbabwe,ZWE,ZWGE72FL00000003.tif,25.482142857142858,18.711193607938707
MZ201500000005,2015,MZ,4.603036839855272,0.8440236591482946,0.8412037037037037,0.8682148318042813,0.374,0.4258720930232558,True,94.0,2015.0,U,-25.068526,33.666429,MZGE71FL,Cidade de Xai-Xai,Gaza,Mozambique,MOZ,MZGE71FL00000005.tif,29.527272727272727,19.054361360819385
SN201500000005,2015,SN,2.052106158898439,0.6240154705679479,0.5640499194847021,0.5821616141470548,0.514,0.6293604651162791,False,103.0,2015.0,U,14.7572398645,-17.4753707298,SNGE7AFL,Dakar,Dakar,Senegal,SEN,SNGE7AFL00000005.tif,25.82456140350877,20.470468979743146
