DHSID,HV007: year of interview,HV000: country code,Female Education PCA,Female Education PCA (min-max-scaled),EDI,EDI (min-max-scaled),EDI (UNESCO),EDI (UNESCO) (min-max-scaled),Imputed,households,DHSYEAR,URBAN_RURA,LATNUM,LONGNUM,GEID,adm2_name,adm1_name,adm0_name,ISO3,TIF_name,MEAN_AGE,STD_AGE,Random Split (Cross Val) Urban,TestIndex
GN201800000186,2018,GN,-2.6249216884881683,0.2268689102553893,0.172053872053872,0.1775785376702807,0.578,0.6504369538077404,False,80.0,2018.0,U,9.726541,-13.516759,GNGE71FL,Ratoma,Conakry,Guinea,GIN,GNGE71FL00000186.tif,21.07692307692308,19.102747963502136,split1,0.16954893222623413
ZW201500000339,2015,ZW,3.1869465743567065,0.7341394651602942,0.7313888888888889,0.7548738532110091,0.578,0.6504369538077404,False,93.0,2015.0,U,-18.211655,31.549557,ZWGE72FL,Marondera,Mashonaland East,Zimbabwe,ZWE,ZWGE72FL00000339.tif,28.36,19.58316644884747,split1,0.36533140524593144
ZW201500000198,2015,ZW,0.9613096251817744,0.5398817774142564,0.5885185185185184,0.6074159021406726,0.699,0.8014981273408239,False,101.0,2015.0,U,-20.127185,28.531972,ZWGE72FL,Bulawayo,Bulawayo,Zimbabwe,ZWE,ZWGE72FL00000198.tif,29.04255319148936,23.17134422815173,split1,0.20859628726094848
SL201900000087,2019,SL,2.1198004331978626,0.6409969865788379,0.6095797720797721,0.6291534344860032,,,False,116.0,2019.0,U,8.597944,-13.17036,SLGE7AFL,Port Loko,Northern,Sierra Leone,SLE,SLGE7AFL00000087.tif,16.4,14.0618488549813,split1,0.5550246657536887
KE202200000317,2022,KE,1.3896521535310788,0.5772683013714874,0.596111111111111,0.6152522935779815,,,False,80.0,2022.0,U,2.330857,37.997989,KEGE8AFL,Marsabit,Eastern,Kenya,KEN,KEGE8AFL00000317.tif,19.341463414634145,16.458447308445532,split1,0.7951789808368755
CI202100000324,2021,CI,-0.1435887865953148,0.4434442111949974,0.3574074074074074,0.3688837920489296,,,False,110.0,2021.0,U,5.84509783694,-5.67412022746,CIGE81FL,Lôh-Djiboua,Gôh-Djiboua,Cote d'Ivoire,CIV,CIGE81FL00000324.tif,20.84,17.023824841817948,split1,0.6643666109959645
SN201700000189,2017,SN,2.120984348387358,0.6411003208747947,0.6134395424836602,0.6331371424716675,0.363,0.3820224719101124,True,197.0,2017.0,U,14.418193,-16.968058,SNGE7RFL,Mbour,Thies,Senegal,SEN,SNGE7RFL00000189.tif,29.392156862745097,20.894907647532516,split1,0.3391654202283403
ZM201800000143,2018,ZM,4.437171196270035,0.8432613703776211,0.6625,0.6837729357798165,0.614,0.6953807740324596,False,114.0,2018.0,U,-13.107645,28.340022,ZMGE71FL,Luanshya,Copperbelt,Zambia,ZMB,ZMGE71FL00000143.tif,24.0327868852459,17.871734865530684,split1,0.6542465891815689
SL201900000099,2019,SL,0.557743217518526,0.5046577588546706,0.4388888888888889,0.4529816513761467,,,True,147.0,2019.0,U,8.945151,-13.10012,SLGE7AFL,Kambia,Northern,Sierra Leone,SLE,SLGE7AFL00000099.tif,30.28358208955224,22.003998238714967,split1,0.6299511521279211
CM201800000404,2018,CM,4.855238468732535,0.8797510510961968,0.89375,0.9224483944954128,,,False,93.0,2018.0,U,6.023916,10.223314,CMGE71FL,Mezam,Nord - Ouest,Cameroon,CMR,CMGE71FL00000404.tif,23.653846153846157,20.8974007346862,split1,0.9880253220047749
