Country Name;Country Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;6;6;6;6;6;6;6;6;6;6;6;6;6
Africa Eastern and Southern;AFE;;;;;;;;;;;;;
Afghanistan;AFG;7;7;7;7;7;7;7;7;7;7;7;7;7
Africa Western and Central;AFW;;;;;;;;;;;;;
Angola;AGO;6;6;6;6;6;6;6;6;6;6;6;6;6
Albania;ALB;6;6;6;6;6;6;6;6;6;6;6;6;6
Andorra;AND;6;6;6;6;6;6;6;6;6;6;6;6;6
Arab World;ARB;;;;;;;;;;;;;
United Arab Emirates;ARE;6;6;6;6;6;6;6;6;6;6;6;6;6
Argentina;ARG;6;6;6;6;6;6;6;6;6;6;6;6;6
Armenia;ARM;7;6;6;6;6;6;6;6;6;6;6;6;6
American Samoa;ASM;6;6;6;6;6;6;6;6;6;6;6;6;6
Antigua and Barbuda;ATG;5;5;5;5;5;5;5;5;5;5;5;5;5
Australia;AUS;5;5;5;5;5;5;5;5;5;5;5;5;5
Austria;AUT;6;6;6;6;6;6;6;6;6;6;6;6;6
Azerbaijan;AZE;6;6;6;6;6;6;6;6;6;6;6;6;6
Burundi;BDI;7;7;7;7;7;7;7;7;7;7;7;7;7
Belgium;BEL;6;6;6;6;6;6;6;6;6;6;6;6;6
Benin;BEN;6;6;6;6;6;6;6;6;6;6;6;6;6
Burkina Faso;BFA;6;6;6;6;6;6;6;6;6;6;6;6;6
Bangladesh;BGD;6;6;6;6;6;6;6;6;6;6;6;6;6
Bulgaria;BGR;7;7;7;7;7;7;7;7;7;7;7;7;7
Bahrain;BHR;6;6;6;6;6;6;6;6;6;6;6;6;6
Bahamas; The;5;5;5;5;5;5;5;5;5;5;5;5;5
Bosnia and Herzegovina;BIH;6;6;6;6;6;6;6;6;6;6;6;6;6
Belarus;BLR;6;6;6;6;6;6;6;6;6;6;6;6;6
Belize;BLZ;5;5;5;5;5;5;5;5;5;5;5;5;5
Bermuda;BMU;5;5;5;5;5;5;5;5;5;5;5;5;5
Bolivia;BOL;6;6;6;6;6;6;6;6;6;6;6;6;6
Brazil;BRA;6;6;6;6;6;6;6;6;6;6;6;6;6
Barbados;BRB;5;5;5;5;5;5;5;5;5;5;5;5;5
Brunei Darussalam;BRN;6;6;6;6;6;6;6;6;6;6;6;6;6
Bhutan;BTN;6;6;6;6;6;6;6;6;6;6;6;6;5
Botswana;BWA;6;6;6;6;6;6;6;6;6;6;6;6;6
Central African Republic;CAF;6;6;6;6;6;6;6;6;6;6;6;6;6
Canada;CAN;6;6;6;6;6;6;6;6;6;6;6;6;6
Central Europe and the Baltics;CEB;;;;;;;;;;;;;
Switzerland;CHE;7;7;7;7;7;6;6;6;6;6;6;6;6
Channel Islands;CHI;;;;;;;;;;;;;
Chile;CHL;6;6;6;6;6;6;6;6;6;6;6;6;6
China;CHN;6;6;6;6;6;6;6;6;6;6;6;6;6
Cote d'Ivoire;CIV;6;6;6;6;6;6;6;6;6;6;6;6;6
Cameroon;CMR;6;6;6;6;6;6;6;6;6;6;6;6;6
Congo; Dem. Rep.;6;6;6;6;6;6;6;6;6;6;6;6;6
Congo; Rep.;6;6;6;6;6;6;6;6;6;6;6;6;6
Colombia;COL;6;6;6;6;6;6;6;6;6;6;6;6;6
Comoros;COM;6;6;6;6;6;6;6;6;6;6;6;6;6
Cabo Verde;CPV;6;6;6;6;6;6;6;6;6;6;6;6;6
Costa Rica;CRI;6;6;6;6;6;6;6;6;6;6;6;6;6
Caribbean small states;CSS;;;;;;;;;;;;;
Cuba;CUB;6;6;6;6;6;6;6;6;6;6;6;6;6
Curacao;CUW;6;6;6;6;6;6;6;6;6;6;6;6;6
Cayman Islands;CYM;5;5;5;5;5;5;5;5;5;5;5;5;5
Cyprus;CYP;6;6;6;6;6;6;6;6;6;6;6;6;6
Czechia;CZE;6;6;6;6;6;6;6;6;6;6;6;6;6
Germany;DEU;6;6;6;6;6;6;6;6;6;6;6;6;6
Djibouti;DJI;6;6;6;6;6;6;6;6;6;6;6;6;6
Dominica;DMA;5;5;5;5;5;5;5;5;5;5;5;5;5
Denmark;DNK;7;6;6;6;6;6;6;6;6;6;6;6;6
Dominican Republic;DOM;6;6;6;6;6;6;6;6;6;6;6;6;6
Algeria;DZA;6;6;6;6;6;6;6;6;6;6;6;6;6
East Asia & Pacific (excluding high income);EAP;;;;;;;;;;;;;
Early-demographic dividend;EAR;;;;;;;;;;;;;
East Asia & Pacific;EAS;;;;;;;;;;;;;
Europe & Central Asia (excluding high income);ECA;;;;;;;;;;;;;
Europe & Central Asia;ECS;;;;;;;;;;;;;
Ecuador;ECU;6;6;6;6;6;6;6;6;6;6;6;6;6
Egypt; Arab Rep.;6;6;6;6;6;6;6;6;6;6;6;6;6
Euro area;EMU;;;;;;;;;;;;;
Eritrea;ERI;7;7;7;6;6;6;6;6;6;6;6;6;6
Spain;ESP;6;6;6;6;6;6;6;6;6;6;6;6;6
Estonia;EST;7;7;7;7;7;7;7;7;7;7;7;7;7
Ethiopia;ETH;7;7;7;7;7;7;7;7;7;7;7;7;7
European Union;EUU;;;;;;;;;;;;;
Fragile and conflict affected situations;FCS;;;;;;;;;;;;;
Finland;FIN;7;7;7;7;7;7;7;7;7;7;7;7;7
Fiji;FJI;6;6;6;6;6;6;6;6;6;6;6;6;6
France;FRA;6;6;6;6;6;6;6;6;6;6;6;6;6
Faroe Islands;FRO;;;;;;;;;;;;;
Micronesia; Fed. Sts.;6;6;6;6;6;6;6;6;6;6;6;6;6
Gabon;GAB;6;6;6;6;6;6;6;6;6;6;6;6;6
United Kingdom;GBR;5;5;5;5;5;5;5;5;5;5;5;5;5
Georgia;GEO;6;6;6;6;6;6;6;6;6;6;6;6;6
Ghana;GHA;6;6;6;6;6;6;6;6;6;6;6;6;6
Gibraltar;GIB;5;5;5;5;5;5;5;5;5;5;5;5;5
Guinea;GIN;7;7;7;7;7;7;7;7;7;7;7;7;7
Gambia; The;7;7;7;7;7;7;7;7;7;7;7;7;7
Guinea-Bissau;GNB;7;6;6;6;6;6;6;6;6;6;6;6;6
Equatorial Guinea;GNQ;7;7;7;7;7;7;7;7;7;7;7;7;7
Greece;GRC;6;6;6;6;6;6;6;6;6;6;6;6;6
Grenada;GRD;5;5;5;5;5;5;5;5;5;5;5;5;5
Greenland;GRL;;;;;;;;;;;;;
Guatemala;GTM;7;7;7;7;7;7;7;7;7;7;7;7;7
Guam;GUM;;;;;;;;6;6;6;6;6;6
