Country Name;Country Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;12;12;12;12;12;12;12;12;12;12;12;12;12
Africa Eastern and Southern;AFE;;;;;;;;;;;;;
Afghanistan;AFG;13;13;13;13;13;13;13;13;13;13;13;13;13
Africa Western and Central;AFW;;;;;;;;;;;;;
Angola;AGO;12;12;12;12;12;12;12;12;12;12;12;12;12
Albania;ALB;11;11;11;11;11;11;11;11;11;11;11;11;11
Andorra;AND;12;12;12;12;12;12;12;12;12;12;12;12;12
Arab World;ARB;;;;;;;;;;;;;
United Arab Emirates;ARE;11;11;11;11;11;11;11;11;11;11;10;10;10
Argentina;ARG;12;12;12;12;12;12;12;12;12;12;12;12;12
Armenia;ARM;10;10;10;10;10;10;10;10;10;10;10;10;10
American Samoa;ASM;;;;;;;;12;12;12;12;12;12
Antigua and Barbuda;ATG;12;12;12;12;12;12;12;12;12;12;12;12;12
Australia;AUS;12;12;12;12;12;12;12;12;12;12;12;12;12
Austria;AUT;10;10;10;10;10;10;10;10;10;10;10;10;10
Azerbaijan;AZE;10;10;10;10;10;10;10;10;10;10;10;10;10
Burundi;BDI;13;13;13;13;13;13;13;13;13;13;13;13;13
Belgium;BEL;12;12;12;12;12;12;12;12;12;12;12;12;12
Benin;BEN;12;12;12;12;12;12;12;12;12;12;12;12;12
Burkina Faso;BFA;12;12;12;12;12;12;12;12;12;12;12;12;12
Bangladesh;BGD;11;11;11;11;11;11;11;11;11;11;11;11;11
Bulgaria;BGR;11;11;11;11;11;11;11;11;11;11;11;11;11
Bahrain;BHR;12;12;12;12;12;12;12;12;12;12;12;12;12
Bahamas; The;11;11;11;11;11;11;11;11;11;11;11;11;11
Bosnia and Herzegovina;BIH;11;11;11;11;11;11;11;11;11;11;11;11;11
Belarus;BLR;10;10;10;10;10;10;10;10;10;10;10;10;10
Belize;BLZ;11;11;11;11;11;11;11;11;11;11;11;11;11
Bermuda;BMU;11;11;11;11;11;11;11;11;11;11;11;11;11
Bolivia;BOL;12;12;12;12;12;12;12;12;12;12;12;12;12
Brazil;BRA;11;11;11;11;11;11;11;11;11;11;11;11;11
Barbados;BRB;11;11;11;11;11;11;11;11;11;11;11;11;11
Brunei Darussalam;BRN;12;12;12;12;12;12;12;12;12;12;12;12;12
Bhutan;BTN;13;13;13;13;13;13;13;13;13;13;13;13;12
Botswana;BWA;13;13;13;13;13;13;13;13;13;13;13;13;13
Central African Republic;CAF;12;12;12;12;12;12;12;12;12;12;12;12;12
Canada;CAN;12;12;12;12;12;12;12;12;12;12;12;12;12
Central Europe and the Baltics;CEB;;;;;;;;;;;;;
Switzerland;CHE;13;13;13;13;13;12;12;12;12;12;12;12;12
Channel Islands;CHI;;;;;;;;;;;;;
Chile;CHL;12;12;12;12;12;12;12;12;12;12;12;12;12
China;CHN;12;12;12;12;12;12;12;12;12;12;12;12;12
Cote d'Ivoire;CIV;12;12;12;12;12;12;12;12;12;12;12;12;12
Cameroon;CMR;12;12;12;12;12;12;12;12;12;12;12;12;12
Congo; Dem. Rep.;12;12;12;12;12;12;12;12;12;12;12;12;12
Congo; Rep.;12;12;12;12;12;12;12;12;12;12;12;12;12
Colombia;COL;11;11;11;11;11;11;11;11;11;11;11;11;11
Comoros;COM;12;12;12;12;12;12;12;12;12;12;12;12;12
Cabo Verde;CPV;12;12;12;12;12;12;12;12;12;12;12;12;12
Costa Rica;CRI;12;12;12;12;12;12;12;12;12;12;12;12;12
Caribbean small states;CSS;;;;;;;;;;;;;
Cuba;CUB;12;12;12;12;12;12;12;12;12;12;12;12;12
Curacao;CUW;12;12;12;12;12;12;12;12;12;12;12;12;12
Cayman Islands;CYM;11;11;11;11;11;11;11;11;11;11;11;11;11
Cyprus;CYP;12;12;12;12;12;12;12;12;12;12;12;12;12
Czechia;CZE;11;11;11;11;11;11;11;11;11;11;11;11;11
Germany;DEU;10;10;10;10;10;10;10;10;10;10;10;10;10
Djibouti;DJI;11;11;11;11;11;11;11;11;11;11;11;11;11
Dominica;DMA;12;12;12;12;12;12;12;12;12;12;12;12;12
Denmark;DNK;13;13;13;13;13;13;13;13;13;13;13;13;13
