;split name;Since 2015 STD 2 pearson_corr;Since 2015 STD 2 rmse;Since 2015 STD 2 nrmse;Val pearson_corr;Val rmse;Val nrmse;Test pearson_corr;Test rmse;Test nrmse;run;name;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Random Split (Cross Val) Urban;0.3549354746889819;0.1638790389646241;0.9405382226890088;0.3995576728122569;0.1773767818371096;0.9168667795345324;0.4006213100748007;0.1772595882834609;0.9162610019631772;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;d0.2;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Random Split (Cross Val) Urban;0.3635626020571314;0.1632515893039239;0.9473007797501096;0.4349154755162011;0.1726319626743977;0.901114193240194;0.411349565167632;0.1749809831101135;0.9133757444734796;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;d0.2;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Random Split (Cross Val) Urban;0.4179434143293949;0.1593558811056313;0.9246951351149996;0.4554390184791816;0.1709278740856985;0.8922190941517839;0.4589686084194764;0.1706044981663239;0.8905311180308719;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;d0.2;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Random Split (Cross Val) Urban;0.2739415927477097;0.1819019695348342;1.043.975.826.382.860;0.3094848947406733;0.1956752681828935;10.114.522.944.618.600;0.3090641449168593;0.1962040005877768;1.014.185.330.726.690;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;d0.2;lr0.0001;momentum0.9;optimizerAdam;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Random Split (Cross Val) Urban;0.3923405578427104;0.1601248167628811;0.9291570417389792;0.4402481854629056;0.1723262998451663;0.8995186769203926;0.4375484378255851;0.1726729087479731;0.9013279258971404;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;d0.2;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Random Split (Cross Val) Urban;0.4233351764131084;0.1585484612167008;0.9200099158553842;0.458155985741761;0.1706596997715124;0.8908192625271423;0.4671757346634937;0.1696313440730773;0.8854513926309568;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;d0.2;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Random Split (Cross Val) Urban;0.255759695291296;0.1848592579793153;10.609.483.619.500.900;0.2972291298949341;0.1956417620642158;1.011.279.100.164.340;0.2865964391527038;0.1967014077162076;10.167.564.455.436.300;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerAdam;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Random Split (Cross Val) Urban;0.4086662545053942;0.1598192660579121;0.927384021198692;0.4533236912915933;0.1714347215320928;0.8948647654439239;0.4467101889254045;0.1721597335873963;0.8986492248405681;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Random Split (Cross Val) Urban;0.4163963250302259;0.1595537758677458;0.9258434599996688;0.4634768495552002;0.1701183730562143;0.8879936143749791;0.4602869100265583;0.1704808922807863;0.8898859129593406;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Random Split (Cross Val) Urban;0.2962234500118452;0.1713947320065966;0.9836724552341414;0.3513044213019967;0.1840200906004397;0.9512062745248154;0.3531807057882253;0.1837113528510902;0.9496103983169208;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerAdam;;m;vgg16;hFalse;wFalse2;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Random Split (Cross Val) Urban;0.419873883418122;0.1576518801920081;0.9148073208459148;0.4526166217151416;0.1710422802897652;0.8928162781997561;0.4598347383165838;0.1702154091071826;0.888500128704243;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Random Split (Cross Val) Urban;0.4196447610050118;0.1583234103600444;0.9187040121707516;0.4450387059192828;0.1721228774683702;0.8984568411623216;0.4573548956497354;0.1707644332114191;0.891365956127474;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Random Split (Cross Val) Urban;0.4416163292648175;0.1586158602321987;0.92040101244567;0.4896594177004458;0.1677492387258343;0.8756270714838197;0.4775016497858633;0.1692755886467268;0.8835944001074387;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Random Split (Cross Val) Urban;0.2770646001673018;0.1665711410892293;0.9665631588059508;0.3542095354585458;0.1794617559700774;0.936764738946157;0.3217883519098644;0.1814319914057792;0.947049086570034;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl20;d0.2;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Random Split (Cross Val) Urban;0.2963081274753162;0.1649745247220135;0.9572984653590187;0.3380582268044291;0.1808611481159632;0.944069366113867;0.3506008524581964;0.1801203165785561;0.9402023312796716;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl20;d0.2;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Random Split (Cross Val) Urban;0.3746259329973682;0.1615330440678987;0.9373285690717088;0.402498039698016;0.1755797102877007;0.9165010148419808;0.4161488912051094;0.1742666246370186;0.9096468952546284;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl20;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Random Split (Cross Val) Urban;0.3664663980342995;0.1616574996424633;0.9380507480307744;0.406250563017642;0.1750778489057481;0.913881370094214;0.403445556257699;0.1753268404226482;0.9151810702563348;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl20;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Random Split (Cross Val) Urban;0.3620875556322029;0.1662147568021809;0.953943426414379;0.4122368715349896;0.1769223432107582;0.9145177704053584;0.4053413593415384;0.1776843133673327;0.9184564207536402;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl65;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Random Split (Cross Val) Urban;0.4033675791059843;0.1612567558517009;0.925488357166252;0.4348834627084737;0.1744818121993203;0.9019025803808484;0.4401590868110185;0.173876718380517;0.8987748293008228;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl65;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Random Split (Cross Val) Urban;0.326635227663479;0.1662267244572048;0.9540121114460772;0.3807402274376963;0.1788834936858072;0.9246550256967077;0.3767077429204293;0.1792204985371302;0.9263970155418262;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl80;d0.2;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Random Split (Cross Val) Urban;0.3570967487800621;0.1648162100320768;0.945916855708255;0.3930706531093014;0.1782034306359727;0.9211397560434628;0.3985618306343408;0.1776025325680792;0.9180336929464116;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl80;d0.2;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Random Split (Cross Val) Urban;0.379006896536145;0.1652058882664938;0.948153305691943;0.4173809657335449;0.1767317660508771;0.9135326704107408;0.4128366592123587;0.1771890506806538;0.915896390631006;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl80;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Random Split (Cross Val) Urban;0.3687889800383377;0.164302437781464;0.9429682025887882;0.4113391791814692;0.1767660908065492;0.9137100962714731;0.4085580606057148;0.1769133054430018;0.914471053868215;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg16;wimagenet;unfl80;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Random Split (Cross Val) Urban;0.4144719208212364;0.1589841606455548;0.9225381510195858;0.4527064479740298;0.1710022790370651;0.8926074773728577;0.4521935540736289;0.1710448329841363;0.892829602899847;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;d0.2;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Random Split (Cross Val) Urban;0.3619339061514092;0.1649689388274425;0.9467934002050636;0.4025942559817751;0.1774020355190909;0.916997316698584;0.4074746983883744;0.1770040817311001;0.9149402796714168;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Random Split (Cross Val) Urban;0.4526897218339615;0.1557489843309098;0.9037653779117736;0.4860054095610985;0.1679828785228041;0.8768466378601362;0.4865718342563547;0.1678157902460218;0.875974460915612;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
